TT,Old Depth,Old Direction,Turns,New Direction,Total Turns,New Depth,OrgNotes,NewNotes
TT1,500,SE,32,SE,48,1500,Quiet
TT2,500,S,32,S,48,1500,Quiet
TT3,500,N,32,N,48,1500,Quiet
TT4,500,N,32,N,48,1500,Quiet`
TT5,500,S,32,S,48,1500,Quiet
TT6,500,NE,32,NE,48,1500,Quiet
TT7,500,N,32,N,48,1500,Quiet
TT8,500,SW,32,SW,48,1500,Quiet
TT9,1500,N,32,N,80,2500,Quiet
TT10,1500,N,32,N,80,2500,Quiet
TT11,1500,SW,32,SW,80,2500,Quiet
TT12,1500,W,32,W,80,2500,Quiet
TT13,1500,NE,32,NE,80,2500,Quiet
TT14,1500,W,32,W,80,2500,Quiet
TT15,1500,E,32,E,80,2500,Quiet
TT16,0,O,0,O,0,0,Quiet
RF,1500,W,0,W,48,1500,
RR,500,NE,0,NE,16,500,
