TT,Old Depth,Old Direction,Turns,New Direction,Total Turns,New Depth,OrgNotes,NewNotes
TT1,1750,SE,16,SE,72,2250,
TT2,1750,S,32,S,88,2750,
TT3,1750,N,32,N,88,2750,
TT4,1750,N,32,N,88,2750,
TT5,1750,S,0,S,56,1750,
TT6,1750,NE,24,NE,80,2500,
TT7,1750,N,24,N,80,2500,
TT8,1750,SW,24,SW,80,2500,
TT9,3000,N,88,N,184,5750,
TT10,3000,N,88,N,184,5750,
TT11,3000,SW,88,SW,184,5750,
TT12,3000,W,80,W,176,5500,
TT13,3000,NE,80,NE,176,5500,
TT14,3000,W,48,W,144,4500,
TT15,3000,E,48,E,144,4500,
TT16,0,O,0,O,0,0,
RF,2000,W,0,W,64,2000,
RR,750,NE,0,NE,24,750,
